id,name,type,github,size_csv,size_zip,url
wumz-uiv5,CPD Districts,dataset,True,1.5,0.32,https://internal.chattadata.org/api/views/wumz-uiv5/rows.csv?accessType=DOWNLOAD
ki5n-4muk,EPB Form 477: June 2018,dataset,True,8.37,2.06,https://internal.chattadata.org/api/views/ki5n-4muk/rows.csv?accessType=DOWNLOAD
krf4-kjew,City Health Dashboard Cities,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/krf4-kjew/rows.csv?accessType=DOWNLOAD
uuvh-i2z5,YFD Centers,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/uuvh-i2z5/rows.csv?accessType=DOWNLOAD
mzwv-ezqk,2019 Permit Inspections,filter,True,6.54,1.46,https://internal.chattadata.org/api/views/mzwv-ezqk/rows.csv?accessType=DOWNLOAD
an5k-bh4m,Bias Incidents,dataset,True,0.06,0.01,https://internal.chattadata.org/api/views/an5k-bh4m/rows.csv?accessType=DOWNLOAD
vcxk-xv79,NoogaNet Map,dataset,True,0.01,0.01,https://internal.chattadata.org/api/views/vcxk-xv79/rows.csv?accessType=DOWNLOAD
w6zx-ub6x,2017 ACS 5-Year Age Group Statistics,dataset,True,0.1,0.03,https://internal.chattadata.org/api/views/w6zx-ub6x/rows.csv?accessType=DOWNLOAD
muia-kb9e,Pedestrian Incidents,dataset,True,0.0,0.0,https://internal.chattadata.org/api/views/muia-kb9e/rows.csv?accessType=DOWNLOAD
htwq-mawx,Percent of Income Spent on Housing - 2017,dataset,True,0.12,0.03,https://internal.chattadata.org/api/views/htwq-mawx/rows.csv?accessType=DOWNLOAD
biep-kjnx,Chattanooga Historic Red Lining,dataset,True,0.05,0.02,https://internal.chattadata.org/api/views/biep-kjnx/rows.csv?accessType=DOWNLOAD
554y-yh3t,Chattanooga Per Capita Income - 2017,dataset,True,0.12,0.03,https://internal.chattadata.org/api/views/554y-yh3t/rows.csv?accessType=DOWNLOAD
aw9c-abm6,Insurance Demographic Data,dataset,True,0.12,0.03,https://internal.chattadata.org/api/views/aw9c-abm6/rows.csv?accessType=DOWNLOAD
g7ci-gcse,Neighborhood Aggregate Sidewalk Data,dataset,True,0.21,0.05,https://internal.chattadata.org/api/views/g7ci-gcse/rows.csv?accessType=DOWNLOAD
2suh-fj28,Building Fire Incidents,filter,True,0.86,0.22,https://internal.chattadata.org/api/views/2suh-fj28/rows.csv?accessType=DOWNLOAD
86rs-z3xb,Chattanooga City Parcels - City Owned,filter,True,1.13,0.26,https://internal.chattadata.org/api/views/86rs-z3xb/rows.csv?accessType=DOWNLOAD
ckws-yz9f,HUD Cases by Zip Code,dataset,True,0.57,0.15,https://internal.chattadata.org/api/views/ckws-yz9f/rows.csv?accessType=DOWNLOAD
kwzr-kyn5,Chattanooga Area Zip Codes,dataset,True,0.6,0.16,https://internal.chattadata.org/api/views/kwzr-kyn5/rows.csv?accessType=DOWNLOAD
wnex-iuna,Revised Hamilton County TN Filed Cases 2014-2019,dataset,True,0.01,0.0,https://internal.chattadata.org/api/views/wnex-iuna/rows.csv?accessType=DOWNLOAD
8xsr-dg5w,2010 Census - Owner Occupied Households,dataset,True,0.09,0.03,https://internal.chattadata.org/api/views/8xsr-dg5w/rows.csv?accessType=DOWNLOAD
jbgb-wrqe,2010 Census - Percent Poverty,dataset,True,0.09,0.03,https://internal.chattadata.org/api/views/jbgb-wrqe/rows.csv?accessType=DOWNLOAD
4ihs-gvk2,2010 Census Population,dataset,True,0.09,0.03,https://internal.chattadata.org/api/views/4ihs-gvk2/rows.csv?accessType=DOWNLOAD
3jq9-a5da,2017 5 Year Race Ethnicity,dataset,True,0.11,0.03,https://internal.chattadata.org/api/views/3jq9-a5da/rows.csv?accessType=DOWNLOAD
ufw3-p78c,5 Year Census Tract Poverty,dataset,True,0.19,0.06,https://internal.chattadata.org/api/views/ufw3-p78c/rows.csv?accessType=DOWNLOAD
s4xe-kvgq,5-Year Census Tract Public Transit Needs,dataset,True,0.19,0.05,https://internal.chattadata.org/api/views/s4xe-kvgq/rows.csv?accessType=DOWNLOAD
nxzc-mwfk,2017 5 Year ACS GINI Economic Inequality Index,dataset,True,0.1,0.02,https://internal.chattadata.org/api/views/nxzc-mwfk/rows.csv?accessType=DOWNLOAD
x2j6-k4kc,Neighborhood Associations,dataset,True,0.21,0.06,https://internal.chattadata.org/api/views/x2j6-k4kc/rows.csv?accessType=DOWNLOAD
2x73-xesh,311 Service Requests Potholes and Distressed Pavement,filter,True,6.74,1.61,https://internal.chattadata.org/api/views/2x73-xesh/rows.csv?accessType=DOWNLOAD
byza-h5fh,2017 5 Year Female Head of Family,dataset,True,0.1,0.03,https://internal.chattadata.org/api/views/byza-h5fh/rows.csv?accessType=DOWNLOAD
72y2-hz7g,2017 5 Year Housing Age,dataset,True,0.1,0.03,https://internal.chattadata.org/api/views/72y2-hz7g/rows.csv?accessType=DOWNLOAD
n7qs-sa9u,2017 5-Year English as Second Language,dataset,True,0.11,0.03,https://internal.chattadata.org/api/views/n7qs-sa9u/rows.csv?accessType=DOWNLOAD
ak44-qdtk,Housing Types,dataset,True,0.1,0.02,https://internal.chattadata.org/api/views/ak44-qdtk/rows.csv?accessType=DOWNLOAD
i68g-hwuq,Long Term Vacancy Estimate,dataset,True,0.1,0.03,https://internal.chattadata.org/api/views/i68g-hwuq/rows.csv?accessType=DOWNLOAD
vaxm-5kb2,2017 5-Year Occupancy Status,dataset,True,0.12,0.03,https://internal.chattadata.org/api/views/vaxm-5kb2/rows.csv?accessType=DOWNLOAD
a6v7-yt5t,Building Assessor Raw Data,filter,True,23.8,4.25,https://internal.chattadata.org/api/views/a6v7-yt5t/rows.csv?accessType=DOWNLOAD
fik7-5xve,Publicly Owned Sidewalks,filter,True,13.21,4.34,https://internal.chattadata.org/api/views/fik7-5xve/rows.csv?accessType=DOWNLOAD
ksvc-aknw,Sidewalks,filter,True,39.17,12.88,https://internal.chattadata.org/api/views/ksvc-aknw/rows.csv?accessType=DOWNLOAD
v525-tnap,Aggregate Daily Views and Downloads,filter,True,0.02,0.01,https://internal.chattadata.org/api/views/v525-tnap/rows.csv?accessType=DOWNLOAD
57if-qqpd,Sidewalk 311 Service Requests,filter,True,0.84,0.21,https://internal.chattadata.org/api/views/57if-qqpd/rows.csv?accessType=DOWNLOAD
fkir-6ve6,Community Survey Results,filter,True,9.41,1.13,https://internal.chattadata.org/api/views/fkir-6ve6/rows.csv?accessType=DOWNLOAD
